popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,instrumentalness,liveness,tempo,duration_ms,time_signature,mood
74,53,65,1,20103224,0.552,0.846,9,-4.912,1,0,0,98.56,236600,1,1
73,24,120,0,55220475,0.588,0.391,0,-8.607,0,0,0,144.069,226973,4,0
73,95,48,0,482587,0.633,0.976,8,-5.362,1,0,0,142.027,197124,4,0
73,68,120,0,2306457,0.421,0.799,6,-5.183,0,0,0,82.408,221720,4,1
72,154,177,0,2790492,0.432,0.261,4,-12.591,1,0,0,89.567,258653,4,0
72,68,120,0,7970409,0.693,0.516,8,-6.446,1,0,0,94.02,220853,4,0
71,11,16,0,6311221,0.441,0.815,3,-4.088,1,0,0,164.007,219320,4,1
71,64,28,0,3503353,0.537,0.674,5,-5.134,0,0,0,136.002,214107,4,0
71,154,115,0,3923904,0.592,0.729,8,-4.156,1,0,0,116.03,236267,4,1
71,77,156,1,817095,0.787,0.799,8,-4.68,0,0,0,143.052,303053,4,1
71,68,120,1,7448377,0.649,0.931,1,-3.15,0,0,0,153.645,213067,4,1
71,78,49,0,558760,0.893,0.823,5,-3.708,0,0,0,128.009,245467,4,1
70,84,57,1,8876528,0.833,0.628,2,-7.041,1,0,0,106.328,286187,4,1
70,37,100,0,1303234,0.605,0.704,5,-6.564,1,0,0,80.925,220413,4,0
70,11,177,0,3846536,0.45,0.883,7,-4.094,1,0,0,93.41,214707,4,0
69,68,101,1,3533486,0.726,0.7,2,-5.881,0,0,0,146.559,246333,4,1
70,78,49,0,558760,0.723,0.872,1,-3.617,1,0,0,128.038,204798,4,1
69,18,30,0,1415626,0.835,0.757,8,-5.029,0,0,0,82.038,274387,4,1
69,174,139,0,19533399,0.678,0.572,11,-7.033,0,0,0,87.165,186827,4,0
68,68,57,1,4342491,0.739,0.368,8,-10.233,1,0,0,144.992,239413,4,0
67,18,30,1,774722,0.888,0.577,1,-7.702,0,0,0,84.003,241840,4,1
67,68,61,0,5406955,0.57,0.821,2,-4.38,1,0,0,210.857,225560,4,0
67,68,101,0,3533486,0.344,0.874,0,-3.161,1,0,0,185.888,260467,4,0
67,11,98,0,2495741,0.469,0.955,10,-4.253,1,0,0,143.853,193653,4,0
67,18,61,0,593940,0.826,0.67,2,-5.559,1,0,0,74.007,226293,4,1
67,18,36,1,4574735,0.551,0.81,11,-4.365,1,0,0,73.464,274333,4,0
66,168,137,0,34593078,0.644,0.746,7,-4.941,1,0,0,105.253,240280,4,0
66,18,30,1,296093,0.891,0.439,7,-7.994,0,0,0,77.499,224253,4,1
66,68,120,1,5449773,0.77,0.609,1,-5.894,1,0,0,90.952,241307,4,1
66,37,101,0,8414036,0.705,0.806,9,-3.607,1,0,0,103.383,256947,4,1
66,85,89,0,392092,0.748,0.786,4,-7.788,0,0,0,104.833,172373,4,1
66,68,120,0,7571066,0.862,0.742,7,-4.722,1,0,0,127.91,228907,4,1
65,75,65,1,70818341,0.608,0.745,10,-5.496,0,0,0,150.068,281120,4,1
65,31,22,0,232787,0.652,0.733,7,-8.207,1,0,0,127.533,182267,4,1
64,68,120,0,6945265,0.589,0.877,0,-6.229,0,0,0,132.971,281880,4,0
66,37,101,1,8414036,0.643,0.871,1,-2.734,0,0,0,121.569,185187,4,0
64,105,98,0,805449,0.512,0.817,7,-3.154,1,0,0,154.607,215173,4,1
64,43,57,1,833403,0.858,0.484,6,-7.448,0,0,0,99.992,202720,4,0
64,36,58,0,2426527,0.547,0.816,8,-6.165,0,0,0,102.765,203507,4,1
64,68,61,0,5406955,0.655,0.54,9,-6.482,1,0,0,79.983,207507,4,0
63,67,36,1,895015,0.786,0.511,7,-6.66,1,0,0,80.0,234133,4,1
63,68,45,1,1985422,0.632,0.639,5,-5.938,1,0,0,95.506,196893,4,1
63,18,29,1,366034,0.64,0.62,1,-5.931,1,0,0,129.37,252653,5,1
63,105,98,1,19921759,0.348,0.875,11,-4.758,0,0,0,169.152,202133,4,0
62,11,98,0,2495741,0.526,0.92,3,-3.866,1,0,0,109.86,238880,4,1
62,18,31,1,2587670,0.551,0.598,1,-6.79,1,0,0,78.756,230613,4,1
62,18,30,1,444913,0.886,0.62,5,-5.854,1,0,0,76.035,229813,4,1
61,154,115,0,2950810,0.489,0.955,11,-2.771,0,0,0,129.352,186173,4,1
61,50,151,0,25810,0.7,0.465,4,-6.815,1,0,0,108.102,151640,4,1
61,68,120,1,15139634,0.683,0.886,4,-5.045,0,0,0,100.04,197173,4,1
61,68,67,0,6150942,0.964,0.595,1,-6.887,0,0,0,128.593,261880,4,1
61,168,137,0,34593078,0.705,0.796,7,-6.845,1,0,0,166.042,210453,4,1
60,95,177,0,29793,0.741,0.869,9,-6.534,0,0,0,126.069,209667,4,1
60,176,177,1,583137,0.684,0.819,1,-3.309,0,0,0,179.999,231867,4,0
59,84,63,1,2413179,0.658,0.551,1,-6.62,1,0,0,138.335,214960,5,0
59,68,32,0,506322,0.71,0.917,7,-3.385,1,0,0,108.031,288360,4,1
59,188,177,0,319146,0.496,0.507,4,-6.073,1,0,0,79.808,222160,4,0
59,11,98,0,2495741,0.454,0.631,0,-4.733,1,0,0,87.888,244827,4,0
59,36,58,0,2426527,0.431,0.81,7,-5.379,1,0,0,76.412,169307,4,1
58,77,177,1,96484,0.792,0.589,4,-6.869,0,0,0,157.147,207587,4,1
57,37,31,0,3504592,0.261,0.562,8,-3.667,1,0,0,70.543,257293,4,0
57,14,58,0,855847,0.525,0.578,9,-4.563,1,0,0,123.696,215267,4,1
56,68,57,0,2414873,0.867,0.504,4,-7.737,0,0,0,82.996,271160,4,1
55,35,177,0,3649524,0.28,0.2,9,-9.66,1,0,0,129.61,218933,3,0
54,68,34,0,4348487,0.711,0.761,8,-3.04,1,0,0,95.824,243880,4,1
53,68,40,1,1471984,0.819,0.485,6,-6.45,0,0,0,96.998,276787,4,0
53,154,177,0,1548684,0.559,0.671,7,-7.109,1,0,0,79.493,212933,4,1
52,93,177,0,89312,0.462,0.783,7,-7.814,1,0,0,175.964,247253,4,1
52,68,67,0,560494,0.906,0.624,4,-5.556,1,0,0,84.009,274947,4,1
51,68,61,0,5406955,0.935,0.745,7,-6.391,1,0,0,103.691,229360,4,1
49,122,133,0,201421,0.421,0.728,7,-5.644,1,0,0,150.12,244667,4,0
77,37,31,0,3504592,0.638,0.656,5,-5.886,1,0,0,104.036,262467,4,0
85,24,120,0,55220475,0.583,0.829,1,-4.603,1,0,0,174.028,275987,4,1
83,68,120,0,2511177,0.731,0.807,3,-6.492,0,1,0,114.759,179120,4,1
68,68,120,0,5449773,0.707,0.642,7,-4.271,1,0,0,113.083,268120,4,0
78,171,177,0,1014531,0.699,0.83,1,-4.898,1,0,0,105.809,219413,4,1
80,152,100,0,1169502,0.656,0.291,2,-10.572,1,0,0,103.971,232533,4,0
73,68,120,0,12907964,0.687,0.723,7,-4.751,1,0,0,76.0,448573,4,0
74,68,120,0,6003475,0.756,0.77,1,-3.502,1,0,0,119.961,246467,4,1
83,68,177,1,3754123,0.939,0.742,5,-5.171,0,0,0,118.978,212360,4,1
83,53,65,1,20103224,0.617,0.717,10,-7.858,0,0,0,103.992,311867,4,0
82,131,98,0,2823440,0.56,0.595,9,-4.53,1,0,0,104.011,267960,4,0
82,11,98,0,23474657,0.623,0.93,5,-5.285,1,0,0,120.119,205613,4,0
82,91,98,0,7648085,0.463,0.857,4,-3.063,1,0,0,111.647,161920,4,1
82,47,15,0,3433405,0.872,0.872,1,-6.328,1,0,0,116.948,223080,4,1
81,56,26,0,5754145,0.519,0.749,6,-3.318,0,0,0,147.905,199947,4,0
81,154,115,0,3923904,0.64,0.743,10,-4.08,1,0,0,122.035,262533,4,0
81,68,120,0,12293793,0.788,0.844,2,-3.131,1,0,0,113.324,251240,4,0
81,14,54,0,19652681,0.427,0.9,11,-3.674,1,0,0,104.655,334667,4,1
81,37,101,1,8414036,0.403,0.422,7,-13.964,0,0,0,122.728,241293,4,0
80,91,98,0,10020221,0.459,0.891,10,-5.057,0,0,0,154.837,203507,4,1
80,11,1,0,10937542,0.433,0.959,9,-4.04,1,0,0,172.984,269373,4,0
80,11,98,1,23474657,0.529,0.967,1,-3.647,0,0,0,140.127,166373,4,1
80,53,65,1,20103224,0.596,0.62,5,-6.133,0,0,1,80.029,271600,4,0
80,68,93,0,3035792,0.762,0.661,1,-6.075,0,0,0,130.009,225373,4,1
79,68,120,1,2511177,0.975,0.711,8,-3.904,1,0,0,110.621,234027,4,1
78,152,103,0,2939571,0.459,0.895,2,-3.126,1,0,0,181.04,182827,4,1
77,68,57,0,4342491,0.693,0.549,1,-8.141,1,0,0,80.028,227960,4,1
77,11,103,0,1273851,0.545,0.932,7,-2.189,0,0,0,92.956,192000,4,0
77,18,20,0,1788387,0.736,0.74,0,-2.18,1,0,0,140.141,221933,4,1
77,78,175,0,115899,0.627,0.954,2,-4.804,1,0,0,128.016,223112,4,0
76,11,16,0,669007,0.644,0.939,11,-3.486,0,0,0,106.031,208107,4,1
76,49,18,1,9868564,0.56,0.959,7,-2.433,1,0,0,163.983,216600,4,1
76,50,117,0,7771259,0.517,0.906,1,-3.677,1,0,0,172.977,211520,4,1
76,11,108,1,3172721,0.611,0.95,8,-3.509,1,0,0,132.078,193893,4,1
76,68,120,0,7970409,0.81,0.538,0,-5.784,0,0,0,109.97,266840,4,1
76,168,137,0,34593078,0.764,0.751,8,-3.74,1,0,0,91.977,199853,4,0
75,68,57,1,4342491,0.832,0.391,8,-8.504,1,0,0,104.961,238800,4,0
75,68,177,1,3754123,0.798,0.443,2,-6.062,1,0,0,125.232,293053,4,0
75,68,120,0,12907964,0.771,0.68,11,-5.881,0,0,0,119.952,276160,4,1
75,37,101,0,8414036,0.407,0.558,0,-13.609,1,0,0,71.815,214947,4,1
74,174,156,0,2160494,0.412,0.876,5,-6.008,0,0,0,130.159,273133,5,1
73,174,139,0,19533399,0.729,0.658,10,-3.386,0,0,0,140.043,250667,3,1
73,24,120,0,55220475,0.637,0.73,5,-5.38,0,0,0,93.867,218947,4,1
73,3,15,0,5864201,0.686,0.688,6,-4.981,0,0,0,123.125,212373,4,0
75,68,177,1,3754123,0.866,0.454,0,-9.383,1,0,0,99.985,247067,4,0
72,68,120,1,5449773,0.81,0.755,0,-6.408,1,0,0,130.991,246573,4,1
72,91,98,0,10020221,0.435,0.887,9,-4.07,1,0,0,199.935,212040,4,0
72,105,98,0,19921759,0.646,0.813,6,-5.29,0,0,0,112.115,173493,4,1
71,154,177,0,2790492,0.72,0.668,9,-7.928,1,0,0,123.007,280027,4,1
71,11,16,0,6311221,0.616,0.91,0,-3.004,1,0,0,144.072,252040,4,1
70,49,18,0,9868564,0.457,0.719,4,-3.921,0,0,0,142.034,240493,4,0
72,24,120,0,55220475,0.735,0.826,1,-4.902,1,0,0,132.964,212280,4,1
70,68,120,0,12907964,0.606,0.591,0,-7.228,0,0,0,95.802,252973,4,0
69,68,100,0,2467562,0.697,0.474,9,-6.663,1,0,0,127.904,196280,4,0
71,68,120,1,5449773,0.906,0.583,8,-7.721,0,0,0,129.056,292373,4,1
69,187,158,0,116334,0.767,0.881,9,-3.988,1,0,0,130.018,209800,4,1
69,68,120,1,15139634,0.709,0.891,0,-3.688,1,0,0,141.04,214387,4,1
69,37,100,0,1303234,0.748,0.735,8,-8.692,1,0,0,150.04,203653,4,1
69,68,120,0,7571066,0.686,0.789,8,-4.713,0,0,0,172.976,194213,4,1
68,183,177,0,20562,0.762,0.754,0,-3.425,0,0,0,129.026,151983,4,1
67,117,137,0,3494857,0.806,0.721,10,-5.167,0,0,0,94.967,238333,4,1
67,188,177,0,335223,0.496,0.857,0,-3.313,1,0,0,167.144,223813,4,1
67,9,33,0,283559,0.463,0.836,2,-2.776,0,0,0,141.955,165120,4,1
67,68,67,0,6150942,0.701,0.724,0,-5.751,0,0,0,132.035,237053,4,0
66,65,67,0,1540390,0.684,0.606,5,-7.268,0,0,0,127.901,275107,4,1
66,49,18,0,9868564,0.162,0.786,7,-2.353,1,0,0,161.192,239907,3,0
66,37,101,1,8414036,0.643,0.871,1,-2.734,0,0,0,121.569,185187,4,0
65,174,156,0,2160494,0.822,0.905,5,-4.032,0,0,0,128.014,209533,4,1
65,68,101,0,1936493,0.664,0.351,0,-12.136,1,0,0,113.204,254147,5,1
64,77,93,1,1788061,0.444,0.708,4,-5.926,0,0,0,105.412,255413,5,0
63,68,36,0,1322168,0.758,0.642,7,-8.128,0,0,0,142.078,268067,4,1
64,68,67,0,6150942,0.697,0.629,9,-5.757,1,0,0,123.279,267413,4,0
63,157,125,0,1150309,0.423,0.94,1,-4.012,0,0,0,149.934,206520,4,1
63,18,36,1,127267,0.619,0.709,7,-4.633,1,0,0,144.972,253400,4,1
63,0,177,0,1319524,0.671,0.82,0,-5.796,1,0,0,122.361,187733,4,1
